indeks_mapel_un_1_5,presentase_rangking _1_5,indeks_mapel_un_3_5,presentase_rangking _1_5,lulus_tpb
83.78,17.65,84.31,26.96,0
79.93,37.58,84.31,26.96,1
86.51,15.46,84.31,26.96,1
81.62,65.82,84.31,26.96,1
81.89,18.95,84.31,26.96,1
80.76,37.25,84.31,26.96,1
88.23,12.7,84.31,26.96,1
86.53,24.75,84.31,26.96,1
81.02,42.59,84.31,26.96,1
86.08,4.08,84.31,26.96,1
82.1,16.99,84.31,26.96,1
80.87,42.47,84.31,26.96,1
81.32,7.5,84.31,26.96,1
83.58,62.39,84.31,26.96,1
82.75,45.45,84.31,26.96,1
81.89,58.82,84.31,26.96,0
82.61,11.76,84.31,26.96,1
80.44,30,84.31,26.96,1
78.44,49.48,84.31,26.96,1
81.67,43.6,84.31,26.96,1
85.84,41.27,84.31,26.96,1
82.6,1.59,84.31,26.96,1
79.43,58.95,84.31,26.96,1
89.15,3.77,84.31,26.96,1
87.06,14.52,84.31,26.96,1
85.06,52.05,84.31,26.96,1
80.89,54.34,84.31,26.96,1
82.64,25.21,84.31,26.96,1
79.2,45.16,82.33,39.25,1
81.03,30.65,83.89,25.27,1
79.11,22.29,79.17,25.05,1
81.04,49.34,82.64,49.78,0
84.8,22.44,86.88,17.09,1
83.85,44.58,86.94,40.44,1
86.24,13.86,82.06,14.75,1
88.78,3.61,88.22,3.83,1
83.15,5.51,80.96,9.82,1
85.72,3.33,86.07,3.51,1
79.88,40.91,80.9,51.95,1
88.29,5.66,89.82,6.29,1
79.86,41.56,79.87,51.2,1
87.02,0.45,84.38,2.25,1
84.34,2.3,85.37,2.5,1
80.98,27.45,83.05,22.55,1
84.24,4.5,85.81,5.71,1
83.46,11.54,85.42,10.26,0
86.07,1.08,87.22,4.23,1
82.84,5.11,84.11,5.5,1
85.49,7.53,86.85,18.64,1
81.33,28.47,82.17,70.7,1
81.98,16.79,81.44,19.67,1
82.13,40.85,85.33,28.64,0
84.8,8.45,83.23,30.94,1
81.9,47.18,78.64,70.45,1
82.83,26.06,81.24,49,1
86.11,3.52,88.83,3.99,1
89.37,13.96,89.8,12.88,1
83,23.24,83.42,39.74,1
84.57,32.26,85.96,42.29,1
82.24,38.73,82.52,59.28,0
91.31,6.67,91.09,9.37,1
82.31,6.54,83.42,5.96,1
83.26,17.78,83.97,23.31,1
79.1,45.06,79.24,51.07,1
84.68,25.81,87.31,13.98,1
85.45,7.27,86.07,13.13,0
84.46,27.59,83.46,58.82,1
83.73,20.87,81.33,10.85,1
90.02,13.16,90.73,12.72,1
84.88,1.19,86.18,2.38,0
88.05,3.13,86.44,7.87,1
87.23,12.26,87.05,13.21,1
83.88,10.65,84.5,13.14,1
82.02,13.73,80.98,14.73,1
86.43,6.78,87.98,7.95,1
87.89,8.7,84.06,13.21,1
91,7.06,89.77,7.06,1
89.29,31.18,89.87,31.37,1
89.5,25.29,89.35,31.37,1
79.4,24.07,80.31,22.5,0
88.93,40,90.58,36.67,1
82.09,2.47,83.04,7.41,1
89.89,20.59,89.8,20.2,1
81.82,28.7,83.43,30.94,0
80.08,33.05,78.91,30.33,1
80.69,40.95,80.59,51.11,0
82.03,14.6,79.54,28.88,1
81.45,14.38,80.15,29.61,1
79.89,38.71,78.95,54.3,1
88.91,22.75,89.21,24.27,1
80.81,24.55,81.66,47.27,1
82.41,11.11,83.82,14.33,1
87,23.81,86.87,26.93,1
86.34,20.44,85.31,25.68,1
82.34,15.58,81.9,21.13,1
82.38,12.96,81.95,35.07,1
86.9,20,86.34,19.15,0
83.75,11.63,84.88,16.09,1
85.37,41.9,86.24,44.92,1
82.33,35.38,81.51,39.49,1
84.86,27.11,87.33,29.18,1
85.11,47.24,85.74,51.93,1
81.33,44.62,80.2,49.23,1
81.21,18.13,81.44,19.79,1
84.83,27.27,83.65,31.38,1
82.79,18.6,82.59,20.16,1
82.63,8.82,82.31,9.64,1
81.18,3.33,81.03,4.44,1
81.43,31.43,83.24,21.59,1
80.2,47.62,80.67,49.21,1
82.14,19.44,82.09,25,1
81.61,11.91,81.08,11.53,1
84.74,27.53,84.63,40.38,1
92.15,9.46,92.49,9.46,1
82.67,8.03,80.33,15.35,1
84.52,19.01,84,23.35,1
85.02,0.73,84.89,6.48,1
82.64,1.71,82.17,0.77,1
83.59,43,83.46,45.31,1
84.84,35.14,84.01,42.53,1
82.62,15.28,84.12,16.61,1
83.11,17.31,83.85,21.37,1
80.97,17.45,81.82,16.9,1
89.16,6.19,89.51,5.84,1
83.56,40.47,84.7,43.3,1
84.22,10.19,83.92,12.3,1
81.91,46.48,84.94,37.79,1
84.81,4.65,85.37,5.62,1
86.56,4.35,86.59,4.35,1
85.16,47.22,86.29,42.36,1
82.2,24.22,84.38,25.71,1
86.48,31.25,85.92,31.94,1
81.52,20,79.63,22.01,1
85,31.05,86.69,31.6,1
86.21,14.61,83.56,15.51,0
84.44,43.38,86.27,39.39,1
84.78,35.16,87.27,32.5,0
86.48,10.24,82.22,12.93,1
85.13,28.77,85.3,33.84,1
86.73,11.42,88.63,12.82,1
85.03,30.59,86.62,33.89,1
85.09,29.68,86.48,36.18,1
82.49,10.2,80.18,42.25,1
81.89,6.61,81.34,4.41,1
