,0,1,2,3,4,5,6,7,8,9,10
387,66.67,20.0,25.0,33.33,55.56,22.35,3.09,86.11,100.0,10.96,1.0
316,100.0,0.0,50.0,33.33,33.33,22.35,5.15,36.11,100.0,10.96,0.0
413,66.67,60.0,75.0,46.67,33.33,33.86,7.22,55.56,100.0,4.24,1.0
394,0.0,20.0,50.0,33.33,55.56,15.58,5.15,41.67,100.0,6.21,1.0
124,33.33,80.0,50.0,33.33,55.56,38.37,5.15,50.0,100.0,18.08,0.0
165,66.67,20.0,0.0,33.33,11.11,22.35,1.03,36.11,100.0,10.96,0.0
241,66.67,50.0,0.0,46.67,55.56,22.35,5.15,41.67,100.0,10.96,0.0
444,66.67,20.0,50.0,20.0,55.56,22.35,5.15,61.11,100.0,10.96,1.0
3,0.0,70.0,50.0,33.33,55.56,7.45,5.15,50.0,100.0,0.28,0.0
541,0.0,70.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
148,66.67,70.0,50.0,33.33,55.56,22.35,5.15,44.44,100.0,10.96,0.0
543,66.67,30.0,0.0,6.67,0.0,22.35,5.15,47.22,100.0,10.96,1.0
327,66.67,30.0,0.0,6.67,11.11,22.35,1.03,50.0,100.0,10.96,1.0
459,33.33,50.0,50.0,33.33,55.56,44.24,5.15,59.42,100.0,24.86,1.0
529,0.0,30.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
129,33.33,70.0,50.0,33.33,77.78,29.35,5.15,61.11,100.0,13.28,0.0
389,0.0,60.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
465,66.67,40.0,50.0,33.33,33.33,22.35,3.09,50.0,100.0,10.96,1.0
562,66.67,30.0,0.0,86.67,11.11,22.35,3.09,36.11,100.0,10.96,1.0
289,66.67,50.0,50.0,33.33,55.56,4.29,5.15,72.22,100.0,0.85,0.0
618,66.67,40.0,50.0,33.33,55.56,22.35,5.15,75.0,100.0,10.96,1.0
118,33.33,60.0,50.0,33.33,55.56,41.53,5.15,59.42,100.0,24.01,0.0
452,66.67,20.0,50.0,33.33,55.56,40.86,5.15,69.44,100.0,13.84,1.0
424,66.67,60.0,50.0,33.33,55.56,22.35,5.15,75.0,100.0,10.96,1.0
331,66.67,50.0,0.0,33.33,11.11,13.77,5.15,52.78,100.0,0.28,1.0
158,66.67,40.0,75.0,33.33,77.78,12.87,3.09,77.78,100.0,1.98,0.0
85,33.33,10.0,50.0,33.33,55.56,48.76,5.15,59.42,100.0,20.62,0.0
203,66.67,50.0,75.0,33.33,11.11,37.92,1.03,55.56,100.0,4.52,0.0
522,33.33,60.0,75.0,46.67,77.78,48.76,7.22,66.67,100.0,15.54,1.0
385,33.33,40.0,50.0,33.33,55.56,38.83,5.15,50.0,100.0,5.93,1.0
410,0.0,90.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,1.0
101,33.33,30.0,75.0,46.67,77.78,38.37,7.22,50.0,100.0,14.12,0.0
174,66.67,20.0,50.0,33.33,55.56,58.92,1.03,58.33,100.0,4.8,0.0
56,0.0,70.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
54,0.0,30.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
587,0.0,80.0,50.0,33.33,55.56,18.06,5.15,47.22,100.0,4.52,1.0
62,0.0,30.0,50.0,33.33,55.56,22.35,5.15,59.42,100.0,10.96,0.0
