ID,prestasi-1,jenjang_prestasi-1,prestasi-2,jenjang_prestasi-2,prestasi-3,jenjang_prestasi-3,gol_ukt,lulus_tpb,ip_tpb
2785,"""Olimpiade (Lainnya)""",Propinsi,"""Olimpiade Matematika""",Propinsi,"""Olimpiade Biologi""",Propinsi,6,0,3.29
2786,0,0,0,0,0,0,0,1,3.69
2787,0,0,0,0,0,0,0,1,3.07
2788,0,0,0,0,0,0,5,1,2.69
2789,0,0,0,0,0,0,6,0,2.90
2790,0,0,0,0,0,0,2,1,3.17
2791,0,0,0,0,0,0,8,0,0.00
2792,0,0,0,0,0,0,3,1,3.17
2793,0,0,0,0,0,0,0,1,2.32
2794,0,0,0,0,0,0,4,1,2.79
2795,0,0,0,0,0,0,0,1,3.50
2796,0,0,0,0,0,0,5,0,2.47
2797,"""Olimpiade Biologi""",Propinsi,0,0,0,0,4,0,2.76
2798,0,0,0,0,0,0,0,0,2.81
2799,0,0,0,0,0,0,8,0,3.00
2800,0,0,0,0,0,0,0,0,2.39
2801,0,0,0,0,0,0,7,1,2.94
2802,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,0,1,2.89
2803,0,0,0,0,0,0,5,1,2.60
2804,0,0,0,0,0,0,7,1,3.39
2805,0,0,0,0,0,0,0,1,3.31
2806,Olahraga,Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,"""Pramuka/Organisasi Ekstrakurikuler""",Sekolah,4,0,0.00
2807,0,0,0,0,0,0,5,1,2.44
2808,0,0,0,0,0,0,6,0,2.28
2809,0,0,0,0,0,0,4,0,3.00
2810,0,0,0,0,0,0,6,1,2.76
2811,"""Pramuka/Organisasi Ekstrakurikuler""",Propinsi,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,0,0,0,1,2.90
2812,0,0,0,0,0,0,6,1,3.14
2813,0,0,0,0,0,0,0,0,0.00
2814,"""Pramuka/Organisasi Ekstrakurikuler""",Kabupaten/Kodya,"""Olimpiade (Lainnya)""",Sekolah,"""Olimpiade (Lainnya)""",Sekolah,0,1,2.92
2815,0,0,0,0,0,0,4,1,2.57
2816,0,0,0,0,0,0,3,0,3.12
2817,"""Olimpiade Matematika""",Propinsi,0,0,0,0,0,1,3.50
2818,0,0,0,0,0,0,7,1,3.06
2819,"""Olimpiade Matematika""",Nasional,"""Olimpiade Matematika""",Propinsi,"""Seni Suara/Musik""",Internasional,3,1,2.92
2820,0,0,0,0,0,0,4,1,3.06
2821,"""Olimpiade (Lainnya)""",Propinsi,0,0,0,0,7,0,2.97
2822,0,0,0,0,0,0,7,1,3.81
2823,"""Olimpiade Astronomi & Astrofisika""",Kabupaten/Kodya,0,0,0,0,6,1,2.76
